batchNumber,name,manufacturer,timestamp,is_fraud
10001,Amoxicillin,0x123abc,2024-03-18T10:30:00,0
10002,Paracetamol,0x123abc,2024-03-18T11:15:00,0
10003,Ibuprofen,0x123abc,2024-03-18T13:45:00,0
10004,Metformin,0x456def,2024-03-18T14:30:00,0
10005,Aspirin,0x789ghi,2024-03-18T09:15:00,0
10006,Ciprofloxacin,0x123abc,2024-03-18T15:20:00,0
10007,Lisinopril,0x456def,2024-03-18T16:45:00,0
10008,Simvastatin,0x789ghi,2024-03-18T10:10:00,0
10009,Omeprazole,0x123abc,2024-03-18T13:30:00,0
10010,Atorvastatin,0x456def,2024-03-18T14:15:00,0
99999,SuperLongNameMedicineCompoundExtremePotencyHighStrengthModifiedReleaseFormulation,0xabc123,2024-03-18T03:20:00,1
12345678901,FakeDrugXYZ,0xdef456,2024-03-18T23:59:00,1
10020,S,0xaaa111,2024-03-18T01:05:00,1
10030,AnotherFakeDrug,0xbbb222,2024-03-19T00:30:00,1
10040,C,0xccc333,2024-03-18T02:25:00,1
10050,SuspiciousMedicine123,0xddd444,2024-03-18T22:50:00,1
99998,UltraLongNameDrugCompoundWithUnknownIngredientsAndQuestionableEfficacyProfileMadeInUnregisteredLab,0xeee555,2024-03-18T04:10:00,1
10051,XenodrugZX,0x999000,2024-03-18T03:15:00,1
54321,CounterfeitDrug,0x888999,2024-03-18T01:30:00,1
10060,B,0x777888,2024-03-18T23:45:00,1 
